timestamp	name	family	quant	path	pp512_tps	tg128_tps	status
2026-05-28T22:38:31Z	Qwen3-8B	dense	Q8_0	Qwen3-8B-Q8_0.gguf	7970.76	274.44	ok
2026-05-28T22:38:39Z	Qwen3-8B	dense	NVFP4	Qwen3-8B-NVFP4-cortecs	21581.08	239.58	ok
2026-05-28T22:38:51Z	Qwen3-14B	dense	Q6_K	Qwen3-14B-Q6_K.gguf	4965.01	155.36	ok
2026-05-28T22:39:19Z	Qwen3-14B	dense	NVFP4	Qwen3-14B-NVFP4	17960.70	147.58	ok
2026-05-28T22:39:53Z	Qwen3-30B-A3B	moe	NVFP4	Qwen3-30B-A3B-NVFP4-Modelopt	16099.24	170.65	ok
2026-05-28T22:40:29Z	Qwen3-30B-A3B	moe	Q4_K_M	Qwen3-30B-A3B-Q4_K_M/Qwen3-30B-A3B-Q4_K_M.gguf	3850.82	276.49	ok
2026-05-28T22:41:04Z	Qwen3-Coder-30B-A3B	moe	NVFP4	Qwen3-Coder-30B-A3B-Instruct-FP4	17138.61	170.89	ok
2026-05-28T22:41:37Z	Qwen3.6-35B-A3B	hybrid	NVFP4	Qwen3.6-35B-A3B-NVFP4	8372.51	151.19	ok
2026-05-28T22:42:52Z	Qwen3.6-35B-A3B	hybrid	Q4_K_M	qwen3.6-35B-A3B-gguf/Qwen3.6-35B-A3B-UD-Q4_K_M.gguf	3625.13	157.86	ok
2026-05-28T22:43:32Z	Gemma-4-26B-A4B	moe	NVFP4	Gemma-4-26B-A4B-it-NVFP4	20715.08	160.24	ok
2026-05-28T22:44:11Z	Gemma-4-26B-A4B	moe	Q4_K_M	gemma-4-26B-A4B-it-UD-Q4_K_M.gguf	4277.78	251.95	ok
2026-05-28T22:44:47Z	Gemma-3-12B	dense	Q4_K_M	gemma-3-12b-it-Q4_K_M.gguf	17852.88	1588.14	ok
2026-05-28T22:45:01Z	Phi-4-reasoning	dense	NVFP4	Phi-4-reasoning-plus-NVFP4	18812.86	152.81	ok
2026-05-28T22:45:19Z	Nemotron-3-Nano-30B	hybrid	NVFP4	Nemotron-3-Nano-30B-A3B-NVFP4	9505.09	106.22	ok
2026-07-12T18:26:47Z	Qwen3-8B	dense	Q8_0	Qwen3-8B-Q8_0.gguf	12659.55	237.29	ok
2026-07-12T18:27:04Z	Qwen3-8B	dense	NVFP4	Qwen3-8B-NVFP4-cortecs	36404.21	278.18	ok
2026-07-12T18:27:21Z	Qwen3-14B	dense	Q6_K	Qwen3-14B-Q6_K.gguf	7446.75	163.23	ok
2026-07-12T18:27:46Z	Qwen3-14B	dense	NVFP4	Qwen3-14B-NVFP4	23445.22	225.29	ok
2026-07-12T18:28:06Z	Qwen3-30B-A3B	moe	NVFP4	Qwen3-30B-A3B-NVFP4-Modelopt	23608.51	389.79	ok
2026-07-12T18:28:23Z	Qwen3-30B-A3B	moe	Q4_K_M	Qwen3-30B-A3B-Q4_K_M/Qwen3-30B-A3B-Q4_K_M.gguf	11243.58	324.65	ok
2026-07-12T18:28:49Z	Qwen3-Coder-30B-A3B	moe	NVFP4	Qwen3-Coder-30B-A3B-Instruct-FP4	21194.03	388.64	ok
2026-07-12T18:29:06Z	Qwen3.6-35B-A3B	hybrid	NVFP4	Qwen3.6-35B-A3B-NVFP4	11703.38	311.43	ok
2026-07-12T18:29:42Z	Qwen3.6-35B-A3B	hybrid	Q4_K_M	qwen3.6-35B-A3B-gguf/Qwen3.6-35B-A3B-UD-Q4_K_M.gguf	3687.65	266.79	ok
2026-07-12T18:30:12Z	Gemma-4-26B-A4B	moe	NVFP4	Gemma-4-26B-A4B-it-NVFP4	14142.62	271.05	ok
2026-07-12T18:30:37Z	Gemma-4-26B-A4B	moe	Q4_K_M	gemma-4-26B-A4B-it-UD-Q4_K_M.gguf	9937.74	261.33	ok
2026-07-12T18:30:59Z	Gemma-3-12B	dense	Q4_K_M	gemma-3-12b-it-Q4_K_M.gguf	4385.12	74.33	ok
2026-07-12T18:31:28Z	Phi-4-reasoning	dense	NVFP4	Phi-4-reasoning-plus-NVFP4	23625.73	204.22	ok
2026-07-12T18:31:46Z	Nemotron-3-Nano-30B	hybrid	NVFP4	Nemotron-3-Nano-30B-A3B-NVFP4	10009.04	129.68	ok
2026-07-19T07:28:00Z	Qwen3-8B	dense	Q8_0	Qwen3-8B-Q8_0.gguf	12360.55	298.98	ok
2026-07-19T07:28:19Z	Qwen3-8B	dense	NVFP4	Qwen3-8B-NVFP4-cortecs	37071.92	281.40	ok
2026-07-19T07:28:42Z	Qwen3-14B	dense	Q6_K	Qwen3-14B-Q6_K.gguf	7343.79	161.83	ok
2026-07-19T07:29:08Z	Qwen3-14B	dense	NVFP4	Qwen3-14B-NVFP4	19191.21	229.10	ok
2026-07-19T07:29:32Z	Qwen3-30B-A3B	moe	NVFP4	Qwen3-30B-A3B-NVFP4-Modelopt	22401.31	368.65	ok
