Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
56.4,20433435299,1062662,19228.5,2840.0,1710,20253558,232545.5,cudaMemcpyAsync
26.1,9449930259,936732,10088.2,3780.0,2270,14991644,52198.6,cudaLaunchKernel
12.9,4677526299,463193,10098.4,3730.0,2180,14621595,63254.0,cudaLaunchKernelExC_v11060
1.0,357816575,458920,779.7,170.0,150,15075935,28294.3,cudaStreamSetAttribute_v11000
0.9,338957268,8,42369658.5,41363821.0,1880,86540606,45022338.9,cudaHostAlloc
0.6,227006857,883,257085.9,296699.0,1320,14963131,568637.7,cudaMalloc
0.5,194657398,216,901191.7,72812.0,19090,178569033,12145000.2,cudaMemGetInfo
0.4,161861598,877,184562.8,188785.0,1610,14367655,543295.2,cudaFree
0.4,161780235,936732,172.7,70.0,60,13780007,14276.8,cuKernelGetName
0.2,60647116,21,2887957.9,2337362.0,635335,10952113,2474084.1,cuLibraryLoadData
0.2,54809634,8,6851204.3,6844014.0,3321,14018522,7204408.8,cudaFreeHost
0.1,48356077,4299,11248.2,3850.0,2760,7720767,179027.4,cudaStreamSynchronize
0.1,30353466,330,91980.2,3745.5,850,7710991,647847.0,cudaEventSynchronize
0.0,11565483,1122,10307.9,4190.5,80,96372,12960.9,cudaMemsetAsync
0.0,9602277,198,48496.3,40906.0,30431,129673,21778.1,cudaMemcpy
0.0,6424039,3,2141346.3,922381.0,4260,5497398,2942456.2,cudaMallocAsync_v11020
0.0,3438116,482,7133.0,240.0,160,1746689,87830.8,cuKernelGetFunction
0.0,3337424,482,6924.1,3590.0,2110,42431,8715.6,cuLaunchKernel
0.0,962763,393,2449.8,2330.0,460,23700,2016.7,cudaEventRecord
0.0,616814,42,14686.0,225.0,150,576933,88885.5,cudaEventCreateWithFlags
0.0,447240,1,447240.0,447240.0,447240,447240,0.0,cudaDeviceGetDefaultMemPool_v11020
0.0,433558,2523,171.8,140.0,120,2030,101.7,cudaGetDriverEntryPointByVersion_v12050
0.0,335976,2520,133.3,90.0,70,1500,106.1,cuTensorMapEncodeTiled
0.0,150455,880,171.0,130.0,50,1310,132.2,cuGetProcAddress_v2
0.0,149333,2,74666.5,74666.5,8360,140973,93771.6,cudaStreamDestroy
0.0,83562,60,1392.7,835.0,290,6421,1415.1,cuLibraryGetKernel
0.0,57282,1,57282.0,57282.0,57282,57282,0.0,cudaMemset
0.0,34802,11,3163.8,1620.0,370,14221,4092.0,cudaEventDestroy
0.0,25830,2,12915.0,12915.0,11200,14630,2425.4,cudaStreamCreateWithFlags
0.0,18660,2,9330.0,9330.0,8990,9670,480.8,cudaFreeAsync_v11020
0.0,15672,3,5224.0,5950.0,3661,6061,1354.7,cudaDeviceSynchronize
0.0,12180,7,1740.0,1870.0,300,4720,1633.1,cudaEventCreate
0.0,6620,4,1655.0,1480.0,1100,2560,694.6,cuInit
0.0,5200,1,5200.0,5200.0,5200,5200,0.0,cudaStreamWaitEvent
0.0,4261,3,1420.3,140.0,130,3991,2226.3,cuModuleGetLoadingMode
0.0,3900,1,3900.0,3900.0,3900,3900,0.0,cudaMemPoolSetAttribute_v11020
0.0,1770,4,442.5,305.0,60,1100,453.5,cudaGetDeviceProperties_v12000
0.0,1690,2,845.0,845.0,740,950,148.5,cuStreamGetCaptureInfo_v2
