Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
92.8,17297616193,265,65274023.4,37691.0,2860,8621771983,747243187.6,cudaStreamSynchronize
1.8,335465374,12,27955447.8,10205.0,1890,85007566,41123245.8,cudaHostAlloc
1.8,327402440,1209,270804.3,306650.0,1620,19920326,780782.2,cudaMalloc
1.2,217212723,274,792747.2,83437.0,65402,194002564,11715002.1,cudaMemGetInfo
1.1,198521587,1202,165159.4,183379.0,1040,17206341,558181.8,cudaFree
0.3,53469855,12,4455821.3,7500.0,3970,13892217,6507544.4,cudaFreeHost
0.3,50319055,21,2396145.5,2327182.0,652045,5956652,1645880.3,cuLibraryLoadData
0.2,37152157,4426,8394.1,3910.0,420,797588,18068.5,cudaLaunchKernel
0.2,34036352,474,71806.6,3210.0,370,9273085,677591.9,cudaEventSynchronize
0.1,21868341,1185,18454.3,3440.0,1890,4057510,174541.7,cudaMemcpyAsync
0.1,21184099,254,83402.0,45451.0,30730,6230100,388568.0,cudaMemcpy
0.1,13194262,1282,10291.9,4215.0,70,167544,13326.9,cudaMemsetAsync
0.0,9021866,3,3007288.7,1262311.0,827421,6932134,3405964.0,cudaGraphInstantiate_v12000
0.0,5808260,1320,4400.2,2640.5,470,2248809,61956.9,cudaLaunchKernelExC_v11060
0.0,5427720,2,2713860.0,2713860.0,6760,5420960,3828417.5,cudaMallocAsync_v11020
0.0,4281118,578,7406.8,230.0,160,1911163,89908.3,cuKernelGetFunction
0.0,3540849,578,6126.0,3395.0,2240,97243,10171.9,cuLaunchKernel
0.0,2094172,537,3899.8,2580.0,280,76151,5805.1,cudaEventRecord
0.0,1106535,4,276633.8,293506.5,106743,412779,126448.6,cudaGraphLaunch_v10000
0.0,1069314,3,356438.0,373108.0,304407,391799,46019.1,cudaGraphExecDestroy_v10000
0.0,841935,4426,190.2,70.0,60,44631,1103.1,cuKernelGetName
0.0,517689,3243,159.6,140.0,120,2620,90.1,cudaGetDriverEntryPointByVersion_v12050
0.0,500740,42,11922.4,215.0,150,459648,70790.5,cudaEventCreateWithFlags
0.0,467150,1,467150.0,467150.0,467150,467150,0.0,cudaDeviceGetDefaultMemPool_v11020
0.0,405977,765,530.7,230.0,170,213822,7723.1,cudaGraphKernelNodeGetParams_v10000
0.0,372122,3240,114.9,90.0,70,15581,279.7,cuTensorMapEncodeTiled
0.0,307417,3,102472.3,94282.0,84112,129023,23549.1,cudaGraphDestroy_v10000
0.0,223442,6,37240.3,5645.0,1130,201082,80316.5,cudaGraphGetEdges_v12030
0.0,177665,1315,135.1,110.0,100,6580,191.5,cudaGraphNodeGetType_v10000
0.0,145231,648,224.1,160.0,140,2630,203.6,cudaStreamSetAttribute_v11000
0.0,143384,880,162.9,110.0,60,1420,129.7,cuGetProcAddress_v2
0.0,122522,1,122522.0,122522.0,122522,122522,0.0,cudaMemset
0.0,112232,61,1839.9,930.0,280,20850,3105.1,cuLibraryGetKernel
0.0,93230,542,172.0,150.0,130,1640,91.0,cudaGraphRemoveDependencies_v12030
0.0,83402,542,153.9,140.0,120,1080,79.6,cudaGraphAddDependencies_v12030
0.0,80613,2,40306.5,40306.5,12001,68612,40030.0,cudaStreamCreateWithFlags
0.0,31641,2,15820.5,15820.5,1320,30321,20506.8,cuStreamGetCaptureInfo_v2
0.0,25030,11,2275.5,1460.0,380,10160,2736.0,cudaEventDestroy
0.0,21120,2,10560.0,10560.0,9030,12090,2163.7,cudaFreeAsync_v11020
0.0,16611,3,5537.0,5840.0,4880,5891,569.5,cudaStreamEndCapture_v10000
0.0,16510,3,5503.3,5930.0,4470,6110,899.4,cudaDeviceSynchronize
0.0,14921,7,2131.6,2490.0,290,4461,1699.7,cudaEventCreate
0.0,12121,2,6060.5,6060.5,5370,6751,976.5,cudaStreamDestroy
0.0,11991,2,5995.5,5995.5,4050,7941,2751.4,cudaGraphAddNode_v12030
0.0,11800,2,5900.0,5900.0,4260,7540,2319.3,cudaGraphCreate_v10000
0.0,10640,1,10640.0,10640.0,10640,10640,0.0,cudaStreamBeginCapture_v10000
0.0,9400,2,4700.0,4700.0,3520,5880,1668.8,cudaGraphConditionalHandleCreate_v12030
0.0,9360,4,2340.0,1875.0,1140,4470,1542.9,cuInit
0.0,9160,1,9160.0,9160.0,9160,9160,0.0,cudaStreamWaitEvent
0.0,8630,6,1438.3,1265.0,860,2310,562.9,cudaGraphGetNodes_v10000
0.0,6210,3,2070.0,2300.0,1130,2780,848.7,cudaDeviceGraphMemTrim_v11040
0.0,4370,3,1456.7,140.0,120,4110,2297.9,cuModuleGetLoadingMode
0.0,3010,1,3010.0,3010.0,3010,3010,0.0,cudaMemPoolSetAttribute_v11020
0.0,2900,2,1450.0,1450.0,1210,1690,339.4,cudaStreamBeginCaptureToGraph_v12030
0.0,2360,4,590.0,525.0,70,1240,506.6,cudaGetDeviceProperties_v12000
