Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
36.1,12089292234,95585,126476.9,3050.0,1730,18665734,685927.7,cudaMemcpyAsync
33.5,11223942998,1052228,10666.8,3730.0,2170,15496554,48128.6,cudaLaunchKernel
24.4,8151708034,742045,10985.5,3720.0,2150,11944165,46786.5,cudaLaunchKernelExC_v11060
1.1,375941386,590040,637.1,170.0,150,1552064,4060.4,cudaStreamSetAttribute_v11000
1.1,352247130,1195,294767.5,291402.0,1620,33182161,1144770.2,cudaMalloc
1.0,338365635,8,42295704.4,42469284.5,2410,84559986,44966614.4,cudaHostAlloc
0.6,200716470,1188,168953.3,187831.5,1310,17351455,561522.1,cudaFree
0.6,186482556,1052228,177.2,70.0,60,192334,1273.2,cuKernelGetName
0.5,175389811,272,644815.5,76988.0,56091,153725930,9316170.9,cudaMemGetInfo
0.5,151438948,21,7211378.5,7500026.0,2072206,17969299,4814120.9,cuLibraryLoadData
0.2,77884301,4355,17883.9,3890.0,2780,35366384,546536.4,cudaStreamSynchronize
0.2,55395820,8,6924477.5,6960679.5,2700,13925389,7289360.9,cudaFreeHost
0.1,25143035,474,53044.4,3160.0,320,9494340,576290.7,cudaEventSynchronize
0.0,16445970,1390,11831.6,6920.0,70,168614,15740.8,cudaMemsetAsync
0.0,13980292,254,55040.5,45846.0,30881,141703,25876.4,cudaMemcpy
0.0,11454041,2,5727020.5,5727020.5,3910,11450131,8093700.5,cudaMallocAsync_v11020
0.0,10071345,578,17424.5,385.0,160,5479921,250970.9,cuKernelGetFunction
0.0,9394940,578,16254.2,5715.0,2250,206905,24052.3,cuLaunchKernel
0.0,2314593,537,4310.2,2301.0,270,84892,8810.2,cudaEventRecord
0.0,880032,3240,271.6,110.0,70,105512,2488.3,cuTensorMapEncodeTiled
0.0,841568,3243,259.5,140.0,120,47061,1458.4,cudaGetDriverEntryPointByVersion_v12050
0.0,516202,42,12290.5,220.0,150,483811,74539.6,cudaEventCreateWithFlags
0.0,407474,1,407474.0,407474.0,407474,407474,0.0,cudaDeviceGetDefaultMemPool_v11020
0.0,169353,1,169353.0,169353.0,169353,169353,0.0,cudaMemset
0.0,142616,880,162.1,110.0,60,1310,128.5,cuGetProcAddress_v2
0.0,87412,59,1481.6,880.0,280,6171,1412.8,cuLibraryGetKernel
0.0,55301,11,5027.4,1410.0,520,37231,10753.1,cudaEventDestroy
0.0,42091,2,21045.5,21045.5,11540,30551,13442.8,cudaStreamCreateWithFlags
0.0,19910,2,9955.0,9955.0,8820,11090,1605.1,cudaFreeAsync_v11020
0.0,17660,7,2522.9,3760.0,450,4730,1949.3,cudaEventCreate
0.0,16011,3,5337.0,5871.0,3620,6520,1522.0,cudaDeviceSynchronize
0.0,13091,2,6545.5,6545.5,6371,6720,246.8,cudaStreamDestroy
0.0,7351,4,1837.8,1735.0,1300,2581,578.3,cuInit
0.0,4700,1,4700.0,4700.0,4700,4700,0.0,cudaStreamWaitEvent
0.0,4110,3,1370.0,130.0,110,3870,2165.1,cuModuleGetLoadingMode
0.0,3580,1,3580.0,3580.0,3580,3580,0.0,cudaMemPoolSetAttribute_v11020
0.0,2380,4,595.0,415.0,180,1370,547.4,cudaGetDeviceProperties_v12000
0.0,2380,2,1190.0,1190.0,770,1610,594.0,cuStreamGetCaptureInfo_v2
