Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
37.6,22060656092,418820,52673.4,4131.0,1730,20890922,508594.7,cudaMemcpyAsync
20.4,11935602128,1049344,11374.3,4151.0,2710,14199604,54566.8,cudaMemcpy2DAsync
20.1,11771741551,1230552,9566.2,3650.0,2200,16293136,54406.7,cudaLaunchKernel
18.9,11107497841,1151627,9645.0,3650.0,2210,8156330,49711.4,cudaLaunchKernelExC_v11060
0.6,351502202,8,43937775.3,41418707.5,1830,98121347,46976563.5,cudaHostAlloc
0.4,249901428,932,268134.6,307878.0,1370,13167329,529613.6,cudaMalloc
0.4,238685281,1230552,194.0,70.0,50,6319840,13009.8,cuKernelGetName
0.4,230530850,211,1092563.3,81439.0,63191,211999553,14588601.7,cudaMemGetInfo
0.4,209245907,327872,638.2,170.0,150,6277529,18582.5,cudaStreamSetAttribute_v11000
0.3,158771160,925,171644.5,191054.0,1180,6182147,260591.7,cudaFree
0.2,96600186,21,4600008.9,3606189.0,670555,14941750,3700113.0,cuLibraryLoadData
0.1,63601067,528,120456.6,3120.5,330,14440785,954960.8,cudaEventSynchronize
0.1,54123388,8,6765423.5,6624377.0,3140,13887047,7133788.7,cudaFreeHost
0.1,33493542,4231,7916.2,3890.0,2790,9767266,150839.2,cudaStreamSynchronize
0.0,12346684,1080,11432.1,4990.0,70,303917,18041.4,cudaMemsetAsync
0.0,12211580,2,6105790.0,6105790.0,8790,12202790,8622460.1,cudaMallocAsync_v11020
0.0,11222788,818,13719.8,4335.0,2140,185754,20407.6,cuLaunchKernel
0.0,6964738,129,53990.2,40211.0,31471,190234,30346.4,cudaMemcpy
0.0,6091127,818,7446.4,340.0,160,2157168,98920.0,cuKernelGetFunction
0.0,2031757,615,3303.7,2361.0,280,59181,4783.7,cudaEventRecord
0.0,569087,42,13549.7,235.0,150,461025,71566.0,cudaEventCreateWithFlags
0.0,426536,1587,268.8,180.0,130,27851,1116.1,cudaGetDriverEntryPointByVersion_v12050
0.0,406699,1,406699.0,406699.0,406699,406699,0.0,cudaDeviceGetDefaultMemPool_v11020
0.0,289030,1584,182.5,120.0,70,13740,368.9,cuTensorMapEncodeTiled
0.0,144463,880,164.2,115.0,60,1710,133.4,cuGetProcAddress_v2
0.0,91806,67,1370.2,1070.0,270,5041,1160.9,cuLibraryGetKernel
0.0,81322,2,40661.0,40661.0,26411,54911,20152.5,cudaMemset
0.0,46771,3,15590.3,6790.0,5710,34271,16186.9,cudaDeviceSynchronize
0.0,30361,13,2335.5,2010.0,270,9530,2564.3,cudaEventCreate
0.0,23700,17,1394.1,1350.0,350,5070,1139.5,cudaEventDestroy
0.0,22311,2,11155.5,11155.5,10971,11340,260.9,cudaStreamCreateWithFlags
0.0,15331,2,7665.5,7665.5,5481,9850,3089.3,cudaFreeAsync_v11020
0.0,10870,2,5435.0,5435.0,4880,5990,784.9,cudaStreamDestroy
0.0,9191,1,9191.0,9191.0,9191,9191,0.0,cudaStreamWaitEvent
0.0,7170,4,1792.5,1780.0,1200,2410,562.9,cuInit
0.0,4720,3,1573.3,140.0,110,4470,2508.6,cuModuleGetLoadingMode
0.0,3360,1,3360.0,3360.0,3360,3360,0.0,cudaMemPoolSetAttribute_v11020
0.0,2890,5,578.0,290.0,250,1620,589.3,cudaGetDeviceProperties_v12000
0.0,1840,2,920.0,920.0,810,1030,155.6,cuStreamGetCaptureInfo_v2
