Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
25.7,1014835363,44962,22571.0,3201.0,1730,9058494,186379.3,cudaMemcpyAsync
17.9,705188755,52194,13510.9,4360.0,2250,6733849,36884.5,cudaLaunchKernel
12.7,501525589,735,682347.7,137223.0,780,34474270,3333720.3,cudaEventSynchronize
8.5,336300274,8,42037534.3,42003445.5,2870,84500656,44683838.0,cudaHostAlloc
6.2,244430149,883,276817.8,302077.0,1430,15563619,664357.7,cudaMalloc
6.1,242232274,19888,12179.8,4000.0,2300,4841307,38928.6,cudaLaunchKernelExC_v11060
6.1,239402076,217,1103235.4,79385.0,40210,222073897,15069918.3,cudaMemGetInfo
4.3,171132502,877,195134.0,187585.0,1730,13533878,612227.6,cudaFree
3.4,134960220,20,6748011.0,5887210.0,2205648,17855607,4675162.8,cuLibraryLoadData
2.3,92672151,5959,15551.6,5660.0,2080,349168,23009.6,cuLaunchKernel
1.4,53395924,8,6674490.5,6523812.0,2950,13766942,7025479.6,cudaFreeHost
1.1,44616309,3515,12693.1,7740.0,70,199594,13966.0,cudaMemsetAsync
1.1,43466436,331,131318.5,22140.0,1860,28311074,1579540.5,cudaStreamSynchronize
0.7,26610195,2543,10464.1,1130.0,380,10038201,269353.3,cudaMallocAsync_v11020
0.6,24489480,17024,1438.5,210.0,150,11534654,88461.4,cudaStreamSetAttribute_v11000
0.5,21124987,5959,3545.1,380.0,160,8074259,133621.4,cuKernelGetFunction
0.3,11088918,198,56004.6,45871.0,30791,129053,24846.3,cudaMemcpy
0.2,9869592,52194,189.1,70.0,50,171914,1929.8,cuKernelGetName
0.2,8654854,40323,214.6,150.0,120,229435,1613.1,cudaGetDriverEntryPointByVersion_v12050
0.2,7713655,40320,191.3,110.0,70,215155,2259.0,cuTensorMapEncodeTiled
0.2,7607180,1203,6323.5,3130.0,410,144393,7801.6,cudaEventRecord
0.2,6907182,2542,2717.2,1450.0,430,279436,9632.4,cudaFreeAsync_v11020
0.0,521660,42,12420.5,230.0,150,475690,73255.3,cudaEventCreateWithFlags
0.0,456810,1,456810.0,456810.0,456810,456810,0.0,cudaDeviceGetDefaultMemPool_v11020
0.0,153215,880,174.1,140.0,50,1861,135.7,cuGetProcAddress_v2
0.0,139413,2,69706.5,69706.5,6910,132503,88807.7,cudaStreamDestroy
0.0,93302,2,46651.0,46651.0,36841,56461,13873.4,cudaMemset
0.0,87790,63,1393.5,1000.0,350,5470,1187.4,cuLibraryGetKernel
0.0,26000,2,13000.0,13000.0,11510,14490,2107.2,cudaStreamCreateWithFlags
0.0,23860,3,7953.3,7350.0,7080,9430,1285.9,cudaDeviceSynchronize
0.0,22990,11,2090.0,1530.0,350,8510,2262.3,cudaEventDestroy
0.0,12981,7,1854.4,1740.0,290,4630,1498.3,cudaEventCreate
0.0,12850,32,401.6,370.0,170,1050,199.4,cuStreamGetCaptureInfo_v2
0.0,6161,4,1540.3,1425.5,1180,2130,409.9,cuInit
0.0,5411,1,5411.0,5411.0,5411,5411,0.0,cudaStreamWaitEvent
0.0,4270,3,1423.3,150.0,130,3990,2222.8,cuModuleGetLoadingMode
0.0,3581,1,3581.0,3581.0,3581,3581,0.0,cudaMemPoolSetAttribute_v11020
0.0,2090,4,522.5,415.0,100,1160,450.2,cudaGetDeviceProperties_v12000
