Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
20.4,951406473,62322,15266.0,4781.0,2250,4740385,31611.6,cudaLaunchKernel
20.4,951265511,17213,55264.4,5420.0,1790,6182847,322361.8,cudaMemcpyAsync
15.7,734476139,1014,724335.4,118658.0,320,51501113,4458582.2,cudaEventSynchronize
10.6,495810625,33592,14759.8,4030.0,2250,14507123,102397.5,cudaLaunchKernelExC_v11060
7.4,345835766,8,43229470.8,43221463.0,3740,87366900,45968973.4,cudaHostAlloc
5.7,266733908,1195,223208.3,231426.0,1730,14168855,588096.5,cudaMalloc
4.5,207575339,1188,174726.7,185183.0,1170,17454835,633362.7,cudaFree
4.0,188044634,273,688808.2,62407.0,31461,170263672,10300885.2,cudaMemGetInfo
3.0,137821672,21,6562936.8,7409884.0,746147,17374796,4521959.4,cuLibraryLoadData
2.1,97631936,7630,12795.8,4900.0,2150,237265,16729.1,cuLaunchKernel
1.7,80169116,387,207155.3,31261.0,2410,46158490,2402495.0,cudaStreamSynchronize
1.1,52613881,8,6576735.1,6510549.5,3040,13220424,6915461.1,cudaFreeHost
0.5,25369178,7630,3324.9,390.0,160,7694291,118154.1,cuKernelGetFunction
0.5,23647928,21888,1080.4,240.0,150,3765639,27165.7,cudaStreamSetAttribute_v11000
0.4,18780509,4432,4237.5,300.0,70,103973,10000.4,cudaMemsetAsync
0.4,18078688,3260,5545.6,1380.0,400,5448936,102254.0,cudaMallocAsync_v11020
0.3,14955744,1617,9249.1,4690.0,280,167424,11846.0,cudaEventRecord
0.3,12143474,62322,194.9,80.0,60,204525,1784.7,cuKernelGetName
0.3,11840979,254,46618.0,44821.0,31991,151244,12901.3,cudaMemcpy
0.2,11197061,51843,216.0,160.0,120,162504,1155.7,cudaGetDriverEntryPointByVersion_v12050
0.2,8938181,51840,172.4,110.0,70,113113,778.7,cuTensorMapEncodeTiled
0.2,8548165,3260,2622.1,1770.0,440,184144,5722.5,cudaFreeAsync_v11020
0.0,542427,42,12914.9,225.0,150,497526,76630.4,cudaEventCreateWithFlags
0.0,457845,1,457845.0,457845.0,457845,457845,0.0,cudaDeviceGetDefaultMemPool_v11020
0.0,150272,880,170.8,120.0,50,1240,135.6,cuGetProcAddress_v2
0.0,108392,2,54196.0,54196.0,33550,74842,29197.9,cudaMemset
0.0,83520,63,1325.7,870.0,400,4980,1162.3,cuLibraryGetKernel
0.0,29951,2,14975.5,14975.5,5770,24181,13018.5,cudaStreamDestroy
0.0,21720,2,10860.0,10860.0,10440,11280,594.0,cudaStreamCreateWithFlags
0.0,21650,11,1968.2,1450.0,380,6640,1709.9,cudaEventDestroy
0.0,20911,3,6970.3,6551.0,6490,7870,779.7,cudaDeviceSynchronize
0.0,16311,7,2330.1,1920.0,250,5281,2122.5,cudaEventCreate
0.0,14040,32,438.8,295.0,170,2390,401.5,cuStreamGetCaptureInfo_v2
0.0,7041,4,1760.3,1720.0,1301,2300,495.5,cuInit
0.0,4520,1,4520.0,4520.0,4520,4520,0.0,cudaStreamWaitEvent
0.0,4200,3,1400.0,210.0,120,3870,2139.6,cuModuleGetLoadingMode
0.0,3290,1,3290.0,3290.0,3290,3290,0.0,cudaMemPoolSetAttribute_v11020
0.0,1930,4,482.5,405.0,90,1030,397.6,cudaGetDeviceProperties_v12000
