Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.9,6038975660,147456,40954.4,40928.0,39264,467262,3126.0,"void imp::gemv_dp4a_gate_up_kernel<imp::DequantTraits<(imp::DPQTag)1>, (int)2>(const unsigned char *, const unsigned char *, const imp::block_q8_1 *, const float *, __half *, __half *, int, int)"
24.5,4122009243,294912,13977.1,17856.0,8608,422206,5248.4,"void imp::gemv_dp4a_kpar_kernel<imp::DequantTraits<(imp::DPQTag)1>, (bool)1>(const unsigned char *, const imp::block_q8_1 *, const float *, __half *, const __half *, int, int)"
10.8,1821567514,147456,12353.3,12352.0,11392,304351,1626.5,"void imp::gemv_dp4a_kpar_qkv_kernel<imp::DequantTraits<(imp::DPQTag)1>>(const unsigned char *, const unsigned char *, const unsigned char *, const imp::block_q8_1 *, const float *, __half *, __half *, __half *, int, int, int, int)"
10.6,1782700464,147456,12089.7,9472.0,4863,18464,3626.9,"void imp::paged_attention_splitk_pipeline_kernel<(int)128>(const __half *, const __half *, const __half *, float *, const int *, const int *, int, int, int, int, float, int, int, int, int, float)"
6.6,1102917435,4099,269069.9,268671.0,266911,537469,8257.7,"void imp::gemv_dp4a_fp32_kernel<imp::DequantTraits<(imp::DPQTag)1>, (int)2>(const unsigned char *, const imp::block_q8_1 *, const float *, float *, int, int)"
5.0,839016504,299011,2806.0,2784.0,2528,3360,73.5,"imp::rmsnorm_quantize_q8_1_kernel(const __half *, const __half *, imp::block_q8_1 *, float *, __half *, int, float, float)"
1.9,320375087,147456,2172.7,2176.0,1888,2592,89.2,"imp::qknorm_rope_fused_fp16_kernel(__half *, __half *, const __half *, const __half *, const int *, int, int, int, float, float, float, int, bool, float, float, float, float, float, const float *)"
1.6,275946529,147456,1871.4,1984.0,1023,2368,245.6,"imp::paged_attention_reduce_kernel(const float *, __half *, int, int, int)"
1.0,166420895,147564,1127.8,1152.0,959,2208,85.2,"imp::write_kv_cache_fused_kernel(const __half *, const __half *, const int *, const int *, __half *, __half *, int, int, int, int, int, int)"
0.7,111020952,147456,752.9,736.0,703,1120,33.8,"void imp::fused_act_quantize_q8_1_kernel<imp::SwiGLUAct>(const __half *, const __half *, imp::block_q8_1 *, float *, int, T1)"
0.6,100912105,147456,684.4,672.0,671,1120,17.1,"void imp::fused_act_quantize_q8_1_kernel<imp::IdentityAct>(const __half *, const __half *, imp::block_q8_1 *, float *, int, T1)"
0.2,32960365,721,45714.8,30528.0,7136,1151643,50834.3,"imp::dequant_q8_0_kernel(const unsigned char *, __half *, int, int)"
0.1,18885973,4099,4607.5,4608.0,2400,5056,230.8,"imp::embedding_lookup_q8_0_kernel(const unsigned char *, const int *, __half *, int)"
0.1,17676596,4099,4312.4,4288.0,3808,4800,122.4,"imp::argmax_partial_kernel(const float *, int, float *, int *)"
0.1,9167488,156,58765.9,60623.5,25536,81312,11118.6,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x3_tn_align8>(T1::Params)
