Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
25.9,1175807584,623,1887331.6,3460.0,360,168039561,14482208.1,cudaEventSynchronize
19.9,906023622,15220,59528.5,4301.0,1750,11101955,419259.8,cudaMemcpyAsync
15.5,704382422,44866,15699.7,3750.0,2250,6417492,84080.0,cudaLaunchKernel
13.0,590246954,38348,15391.9,3720.0,2230,6343650,87433.0,cudaLaunchKernelExC_v11060
7.5,342836760,8,42854595.0,42825825.5,3670,86169303,45618308.2,cudaHostAlloc
4.5,203077136,932,217893.9,251813.5,1450,4475684,256822.3,cudaMalloc
3.7,170055574,212,802148.9,73996.0,34671,153895038,10564332.1,cudaMemGetInfo
3.3,151338646,925,163609.3,182999.0,1290,5329605,256119.2,cudaFree
2.6,120408474,2577,46724.3,4180.0,2230,3210491,267729.7,cuLaunchKernel
1.2,53775073,8,6721884.1,6510757.5,3740,13719361,7087547.8,cudaFreeHost
1.1,48173846,21,2293992.7,2327161.0,660594,5791131,1566150.5,cuLibraryLoadData
0.4,16987505,263,64591.3,8031.0,1731,10951861,675435.1,cudaStreamSynchronize
0.4,16964411,2577,6583.0,270.0,150,9562729,199112.0,cuKernelGetFunction
0.2,9019892,1947,4632.7,260.0,70,114842,10676.9,cudaMemsetAsync
0.2,8687406,44866,193.6,80.0,50,71411,1098.4,cuKernelGetName
0.2,7203453,11008,654.4,170.0,150,331975,4171.3,cudaStreamSetAttribute_v11000
0.1,6653653,148,44957.1,3625.0,520,4478609,382708.4,cudaMallocAsync_v11020
0.1,5562336,129,43118.9,42091.0,32970,105052,9072.3,cudaMemcpy
0.1,3941706,805,4896.5,2460.0,280,62831,6534.1,cudaEventRecord
0.0,1317797,6339,207.9,140.0,120,52621,919.8,cudaGetDriverEntryPointByVersion_v12050
0.0,1028981,6336,162.4,100.0,70,52801,769.3,cuTensorMapEncodeTiled
0.0,509201,42,12123.8,245.0,150,469530,72317.6,cudaEventCreateWithFlags
0.0,458390,1,458390.0,458390.0,458390,458390,0.0,cudaDeviceGetDefaultMemPool_v11020
0.0,448728,148,3031.9,2055.0,511,47711,4195.1,cudaFreeAsync_v11020
0.0,198494,880,225.6,170.0,60,1770,167.4,cuGetProcAddress_v2
0.0,111922,3,37307.3,32140.0,24471,55311,16056.2,cudaMemset
0.0,95322,76,1254.2,1010.0,350,6070,1049.7,cuLibraryGetKernel
0.0,28250,3,9416.7,7300.0,6940,14010,3982.0,cudaDeviceSynchronize
0.0,28140,13,2164.6,1420.0,260,8120,2292.1,cudaEventCreate
0.0,26880,17,1581.2,1340.0,340,7610,1698.5,cudaEventDestroy
0.0,21790,2,10895.0,10895.0,10700,11090,275.8,cudaStreamCreateWithFlags
0.0,13661,2,6830.5,6830.5,5751,7910,1526.6,cudaStreamDestroy
0.0,7900,4,1975.0,1690.0,1240,3280,932.8,cuInit
0.0,4500,3,1500.0,250.0,120,4130,2278.6,cuModuleGetLoadingMode
0.0,4490,1,4490.0,4490.0,4490,4490,0.0,cudaStreamWaitEvent
0.0,4200,8,525.0,525.0,240,970,279.4,cuStreamGetCaptureInfo_v2
0.0,2710,5,542.0,580.0,120,790,253.7,cudaGetDeviceProperties_v12000
0.0,2360,1,2360.0,2360.0,2360,2360,0.0,cudaMemPoolSetAttribute_v11020
